ID,Date,Address,Suite,PermitType,ConstructionCost,OwnerName,Contractor,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
 173262,2012/11/30 00:00:00.000,4330 EVANGELINE LN,,TOWNHOUSE, 50000.0,R M L CONSTRUCTION LLC,R M L CONSTRUCTION LLC,4330 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.41055837582573,37.98726129733366
 172575,2012/10/19 00:00:00.000,4244 EVANGELINE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,"BALL HOMES, INC. ",STIVERS HVAC INC,4244 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.410733541559296,37.985846398722487
 185997,2014/10/24 00:00:00.000,433 JERSEY ST,,ZONING COMPLIANCE PERMIT (N/C), 0.0,INSOMNIA COOKIES,,433 JERSEY ST,Block Level,JERSEY ST,,-84.502253505999519,38.04344209930612
 177530,2013/07/22 00:00:00.000,356 PREAKNESS DR,,ZONING COMPLIANCE HOME OFFICE (N/C), 0.0,ERYN DAILEY-DEMBY,ERYN DAILEY-DEMBY,356 PREAKNESS DR,Block Level,PREAKNESS DR,,-84.443788220783645,38.069163574863779
 176110,2013/06/10 00:00:00.000,3349 TATES CREEK RD,,RETAIL SALES REMODELING, 105000.0,RITE AID PHARMACY,"SUN INDUSTRIAL, INC",3349 TATES CREEK RD,Block Level,TATES CREEK RD,,-84.495716322461789,37.996659551332684
 166100,2011/10/20 00:00:00.000,3347 TATES CREEK RD,,"MECHANICAL COMM. $2,001-$10,000", 0.0,GOTTA DANCE STUDIO,CLIMATE CONTROL CORPORATION,3347 TATES CREEK RD,Block Level,TATES CREEK RD,,-84.495716322461789,37.996659551332684
 166223,2011/10/27 00:00:00.000,3567 HALEY RD,,"MECHANICAL, SINGLE FAMILY", 0.0,JIM THORNBERRY,CHRISTOPHER & SMITH HEATING & AC,3567 HALEY RD,Block Level,HALEY RD,,-84.331079713735235,38.037606543055162
 185951,2014/10/23 00:00:00.000,620 EUCLID AVE,,"MECHANICAL COMM. $10,001-$25,000", 19000.0,THE ASHLAND BUILDING ,CLIMATE CONTROL CORPORATION,620 EUCLID AVE,Block Level,EUCLID AVE,,-84.493465835277988,38.032207396801581
 186853,2014/12/22 00:00:00.000,855 GLASFORD SQ,#101,"MECHANICAL, SINGLE FAMILY", 2407.67,RML CONSTRUCTION LLP,STIVERS HVAC INC,855 GLASFORD SQ,Block Level,GLASFORD SQ,,-84.51641434667539,37.971508367488383
 185187,2014/09/12 00:00:00.000,729 LANE ALLEN RD,,ZONING COMPLIANCE PERMIT (N/C), 0.0,EXPRESS MOBILE,EXPRESS MOBILE,729 LANE ALLEN RD,Block Level,LANE ALLEN RD,,-84.53650668809388,38.02772182794898
 169163,2012/05/09 00:00:00.000,2433 NICHOLASVILLE RD,,"GRADING, COMMERCIAL", 0.0,CFT DEVELOPMENTS LLC,SUPERIOR DEMOLITION INC,2433 NICHOLASVILLE RD,Block Level,NICHOLASVILLE RD,,-84.519881564274499,38.002332035735087
 169263,2012/05/14 00:00:00.000,3454 SQUIRES HILL LN,,CO-LOCATE TOWER, 3500.0,CROWN CASTLE,"WESTOWER COMMUNICATIONS, INC. ",3454 SQUIRES HILL LN,Block Level,SQUIRES HILL LN,,-84.462418242540835,37.966357404155531
 182934,2014/05/21 00:00:00.000,2303 WOODHILL DR,,ZONING COMPLIANCE PERMIT (N/C), 0.0,SLEEP OUTFITTERS,SLEEP OUTFITTERS,2303 WOODHILL DR,Block Level,WOODHILL DR,,-84.454961627060953,38.017413537561104
 183767,2014/06/30 00:00:00.000,1641 WHARTON WAY,,TOWNHOUSE, 50000.0,RML CONSTRUCTION,R M L CONSTRUCTION LLC,1641 WHARTON WAY,Block Level,WHARTON WAY,,-84.394532810152739,38.018228347541402
 185725,2014/10/15 00:00:00.000,114 TOWNE CENTER DR,A&W HOOD,"MECHANICAL COMM. $10,001-$25,000", 0.0,A&W REST INC,BRYANTS SHEET METAL INC,114 TOWNE CENTER DR,Block Level,TOWNE CENTER DR,,-84.530004854149766,38.067635684867128
 175841,2013/05/02 00:00:00.000,713 E LOUDON AVE,,ZONING COMPLIANCE PERMIT (N/C), 0.0,OWSLEY MOTOR SPORTS,,713 E LOUDON AVE,Block Level,E LOUDON AVE,,-84.468193586726329,38.047297527317745
 172406,2012/10/10 00:00:00.000,1103 FERN AVE,,"SINGLE FAMILY RES, 1500 SQ.FT. OR LESS", 80000.0,"ANDERSON BURLEY, LLC",HARMONY HOME BUILDERS LLC,1103 FERN AVE,Block Level,FERN AVE,,-84.515926255032426,38.03397680616731
 177169,2013/08/02 00:00:00.000,1616 LEESTOWN RD,,COMMERCIAL CANOPY, 360302.04,KROGER,FRANKLIN PRICE INC,1616 LEESTOWN RD,Block Level,OLD LEESTOWN RD,,-84.526892486361248,38.068278228087294
 177169,2013/08/02 00:00:00.000,1616 LEESTOWN RD,,COMMERCIAL CANOPY, 360302.04,KROGER,FRANKLIN PRICE INC,1616 LEESTOWN RD,Block Level,LEESTOWN RD,,-84.526224295043377,38.06748029958117
 182044,2014/04/14 00:00:00.000,2424 PALUMBO DR,,ZONING COMPLIANCE PERMIT (N/C), 0.0,"EXCELSIUS GLOBAL USA, LLC","EXCELSIUS GLOBAL USA, LLC",2424 PALUMBO DR,Block Level,PALUMBO DR,,-84.443520854941127,38.016271260454594
 173093,2012/11/16 00:00:00.000,1624 OLD PARIS RD,STE 130,ZONING COMPLIANCE PERMIT (N/C), 0.0,ZACHARY CONNOLLY,ZACHARY CONNOLLY,1624 OLD PARIS RD,Block Level,OLD PARIS RD,,-84.469055013902548,38.065992320985352
 168081,2012/03/14 00:00:00.000,432 HOLLOW CREEK RD,,"MECHANICAL, MULTI-FAMILY", 0.0,PADDOCK SUBDIVISION ,DISPONETTE SERVICE CO INC,432 HOLLOW CREEK RD,Block Level,HOLLOW CREEK RD,,-84.476692557782755,38.073781660142522
 187371,2015/02/02 00:00:00.000,875 GLASFORD SQ,#104,"MECHANICAL, SINGLE FAMILY", 3728.92,RML CONSTRUCTION LLP,STIVERS HVAC INC,875 GLASFORD SQ,Block Level,GLASFORD SQ,,-84.51641434667539,37.971508367488383
 186166,2014/11/04 00:00:00.000,1685 WHARTON WAY,,"MECHANICAL, SINGLE FAMILY", 3728.0,BALL HOMES INC ,STIVERS HVAC INC,1685 WHARTON WAY,Block Level,WHARTON WAY,,-84.393520791839308,38.018838991563541
 164039,2011/06/15 00:00:00.000,3741 SLEEPY HOLLOW LN,,"FENCE, RESIDENTIAL", 17000.0,GREG & CAIL CARMEN,BORDERS FENCING,3741 SLEEPY HOLLOW LN,Block Level,SLEEPY HOLLOW LN,,-84.38392877993914,38.006275098595033
 162419,2011/03/10 00:00:00.000,753 LIBERTY RIDGE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,LIBERTY RIDGE SR LIVING,CLIMATE CONTROL CORPORATION,753 LIBERTY RIDGE LN,Block Level,LIBERTY RIDGE LN,,-84.437662770046614,38.017729420076925
 171324,2012/08/15 00:00:00.000,273 SOMERSLY PL,,REMODELING RESIDENTIAL, 5000.0,COMMONWEALTH DESIGNS,COMMONWEALTH DESIGNS INC,273 SOMERSLY PL,Block Level,SOMERSLY PL,,-84.433665030222997,37.985065185421917
 174467,2013/02/26 00:00:00.000,1588 LEESTOWN RD,Suite 130,REMODELING COMMERCIAL, 20000.0,THE UPS STORE,OWNER,1588 LEESTOWN RD,Block Level,LEESTOWN RD,,-84.524576484955745,38.066429631669877
 180232,2013/12/10 00:00:00.000,885 GLASFORD SQ,UNIT 104,TOWNHOUSE, 50000.0,RML CONSTRUCTION,R M L CONSTRUCTION LLC,885 GLASFORD SQ,Block Level,GLASFORD SQ,,-84.51641434667539,37.971508367488383
 181606,2014/03/21 00:00:00.000,517 S BROADWAY,,"MECHANICAL, SINGLE FAMILY", 4987.0,MORGAN PROPERTIES,AIR CONTROL HEATING & COOLING OF LEX,517 S BROADWAY,Block Level,S BROADWAY,,-84.505648664299827,38.044888491418583
 184162,2014/07/28 00:00:00.000,137 MALABU DR,,SIGNS , 1266.5,MALABU MANOR,LEXINGTON TENT & AWNING CO,137 MALABU DR,Block Level,MALABU DR,,-84.51694626669503,38.001980144227332
 173823,2013/01/14 00:00:00.000,373 SOUTHLAND DR,,ZONING COMPLIANCE PERMIT (N/C), 0.0,SPEED WIRELESS,SPEED WIRELESS,373 SOUTHLAND DR,Block Level,SOUTHLAND DR,,-84.525001834922278,38.016855094614819
 186558,2014/12/03 00:00:00.000,2308 SIR BARTON WAY,STE 195,SIGNS , 20000.0,STARWOOD RETAIL PARTNERS,INTEGRATED SIGN & GRAPHIC INC,2308 SIR BARTON WAY,Block Level,SIR BARTON WAY,,-84.422371658560849,38.022921228790146
 180524,2014/01/06 00:00:00.000,327 RIVIERA RD,,GRADING RESIDENTIAL, 0.0,BRENT RAY HOMES,BRENT A RAY HOMES,327 RIVIERA RD,Block Level,RIVIERA RD,,-84.317116636000904,38.026528348507192
 178237,2013/08/27 00:00:00.000,698 E NEW CIRCLE RD,,ZONING COMPLIANCE PERMIT (N/C), 0.0,BEST BUY AUTO MART LLC II,BEST BUY AUTO MART LLC II,698 E NEW CIRCLE RD,Block Level,E NEW CIRCLE RD,,-84.454387324299788,38.047946751226306
 174444,2013/02/26 00:00:00.000,508 HENRY CLAY BLVD,,CO-LOCATE TOWER, 25000.0,SSPRINT NEXTEL,S B A NETWORK SERVICES LLC,508 HENRY CLAY BLVD,Block Level,HENRY CLAY BLVD,,-84.465866003841924,38.036077839676096
 174444,2013/02/26 00:00:00.000,508 HENRY CLAY BLVD,,CO-LOCATE TOWER, 25000.0,SSPRINT NEXTEL,S B A NETWORK SERVICES LLC,508 HENRY CLAY BLVD,Block Level,HENRY CLAY BLVD,,-84.466752884601178,38.035275451716636
 166684,2011/12/01 00:00:00.000,1690 TRAVELLER RD,,WRECKING COMMERCIAL, 10000.0,GARDENSIDE BAPTIST CHURCH,SUPERIOR DEMOLITION INC,1690 TRAVELLER RD,Block Level,TRAVELLER RD,,-84.553655860193146,38.042901675745476
 164669,2011/07/21 00:00:00.000,443 WHISPERING HILLS DR,,"FENCE, RESIDENTIAL", 500.0,VERDIE CRAIG,RIO GRANDE FENCE CO INC,443 WHISPERING HILLS DR,Block Level,WHISPERING HILLS DR,,-84.508246270725522,37.976819926335402
 187056,2015/01/12 00:00:00.000,1113 COMMERCIAL DR,,"MECHANICAL COMM. $2,001-$10,000", 2800.0,JONAH  MITCHELL ,MARTY SMITH HVAC LLC,1113 COMMERCIAL DR,Block Level,COMMERCIAL DR,,-84.45844730806779,38.046626351762669
 179084,2013/10/09 00:00:00.000,3831 BELLEAU WOOD DR,#38,"MECHANICAL, MULTI-FAMILY", 0.0,RML CONSTUCTION LLP,STIVERS HVAC INC,3831 BELLEAU WOOD DR,Block Level,BELLEAU WOOD DR,,-84.50742655428553,37.972889494917432
 167013,2012/01/04 00:00:00.000,945 NANDINO BLVD,,SIGNS , 4559.0,WORLDWIDE EQUIPMENT,ROYER SIGN SHOPS INC,945 NANDINO BLVD,Block Level,NANDINO BLVD,,-84.497663176257362,38.07772515187709
 184308,2014/07/25 00:00:00.000,381 PINEWOOD CT,,ZONING COMPLIANCE HOME OFFICE (N/C), 0.0,WARRIOR SOAPS,WARRIOR SOAPS,381 PINEWOOD CT,Block Level,PINEWOOD CT,,-84.440449491464037,38.008826471013961
 184915,2014/08/27 00:00:00.000,275 MEIJER WAY,,"MECHANICAL COMM. $2,001-$10,000", 4517.0,MSJ LEXINGTON,FAYETTE HEATING & AIR CONDITIONING,275 MEIJER WAY,Block Level,MEIJER WAY,,-84.529536210634561,37.99388414151759
 162834,2011/04/01 00:00:00.000,714 HENRY CLAY BLVD,,"MECHANICAL COMM. $2,001-$10,000", 0.0,STEVE SNOWDEN,AIR TECH INC,714 HENRY CLAY BLVD,Block Level,HENRY CLAY BLVD,,-84.465072441313666,38.037595760953607
 162585,2011/04/08 00:00:00.000,103 PROSPEROUS PL,,CO-LOCATE TOWER, 5000.0,AT&T/RETEL BROKERAGE SERVICES,BPI INC,103 PROSPEROUS PL,Block Level,PROSPEROUS PL,,-84.444425251681622,38.000603223565562
 165874,2011/11/16 00:00:00.000,2265 FRANKFORT CT,,GOVERNMENT BLDG/LOCAL, 189000.0,LFUCG,SENSABAUGH DESIGN & CONSTRUCTION LLC,2265 FRANKFORT CT,Block Level,FRANKFORT CT,,-84.551136027134461,38.066303976048907
 182877,2014/05/20 00:00:00.000,1317 CENTRE PKWY,,"MECHANICAL COMM. $2,001-$10,000", 4900.0,LHA-CENTRAL OFFICE ,DISPONETTE SERVICE CO INC,1317 CENTRE PKWY,Block Level,CENTRE PKWY,,-84.476330888570672,37.980774816397123
 173846,2013/02/15 00:00:00.000,101 HELM ST,STE 110,TENANT FIT-UP, 125000.0,TURNER DEVELOPMENT,C B C E CONTRACTING INC,101 HELM ST,Block Level,HELM ST,,-84.457024618860103,38.042290663553224
 179376,2013/11/01 00:00:00.000,814 EUCLID AVE,,SIGNS , 550.0,DONUT DAYS BAKER,SIGNS NOW,814 EUCLID AVE,Block Level,EUCLID AVE,,-84.490703822665864,38.029770648284604
 176863,2013/10/21 00:00:00.000,1992 PAVILION WAY,,RETAIL SALES REMODELING, 750000.0,"ANDREW ARDITO, PROJECT MANAGER",DOOLEY & MACK CONSTRUCTORS OF GEORGIA INC,1992 PAVILION WAY,Block Level,PAVILION WAY,,-84.418825607884571,38.024709486780438
 171865,2012/09/11 00:00:00.000,201 RUCCIO WAY,,TENANT FIT-UP, 40000.0,"MSJ LEXINGTON, LLC","MSJ LEXINGTON, LLC",201 RUCCIO WAY,Block Level,RUCCIO WAY,,-84.530502158410442,37.996314008156212
 183690,2014/07/02 00:00:00.000,1060 CHINOE RD,STE 104,ADDITION RESTAURANT, 199000.0,SHAKESPEARE & CO,"HAYDEN COMPANY INC, THE",1060 CHINOE RD,Block Level,CHINOE RD,,-84.480792533096306,37.997794244578706
 177112,2013/07/02 00:00:00.000,3550 CREEKWOOD DR,APT 16,"MECHANICAL, MULTI-FAMILY", 0.0,CHINOE CREEK APTS ,FAYETTE HEATING & AIR CONDITIONING,3550 CREEKWOOD DR,Block Level,CREEKWOOD DR,,-84.479561056685327,37.996527908386774
 169240,2012/05/11 00:00:00.000,401 REED LN,,"MECHANICAL, GOV BLDG LOCAL", 0.0,FAYETTE BOARD OF EDUCATION,THERMAL EQUIPMENT SERVICE CO INC,401 REED LN,Block Level,REED LN,,-84.525740184021885,38.025195860125756
 169140,2012/05/07 00:00:00.000,215 SOUTHLAND DR,,"MECHANICAL COMM. $2,001-$10,000", 0.0,BANK OF THE BLUEGRASS,GREEN BOX HEATING & AIR,215 SOUTHLAND DR,Block Level,SOUTHLAND DR,,-84.520178445468929,38.012869478731979
 171696,2012/09/04 00:00:00.000,490 ROSEMILL DR,,"WRECKING STRUCTURES, RESIDENTIAL", 5500.0,496 SOUTHLAND DR LLC,ROE EXCAVATING ,490 ROSEMILL DR,Block Level,ROSEMILL DR,,-84.529544198640664,38.020733230664433
 169492,2012/05/23 00:00:00.000,250 WALTON AVE,STE 160,"MECHANICAL COMM. $10,001-$25,000", 0.0,WALKER PROPERTIES,BREWERS H V A C,250 WALTON AVE,Block Level,WALTON AVE,,-84.480539605986309,38.040705779175575
 172409,2012/10/10 00:00:00.000,533 E FOURTH ST,,RESIDENTIAL ADDITION, 15000.0,SAHNNON & ANGELA HALL,AMERICAN HOME DESIGN INC,533 E FOURTH ST,Block Level,E FOURTH ST,,-84.483849556776178,38.044938532004515
 186495,2014/11/25 00:00:00.000,734 NATIONAL AVE,STE 120,REMOD. GEN. BUSINESS OFFICE/BLDG., 1000.0,THE COLISEUM/DWAYNE CARR,WALKER PROPERTIES,734 NATIONAL AVE,Block Level,NATIONAL AVE,,-84.478948243193486,38.040457751028221
 181165,2014/02/21 00:00:00.000,228 N UPPER ST,,"MECHANICAL COMM. $2,001-$10,000", 0.0,LARRY HERMAN,STANLEY FIZER INC,228 N UPPER ST,Block Level,N UPPER ST,,-84.494830953798314,38.049331785447734
 181732,2014/10/17 00:00:00.000,362 N MARTIN LUTHER KING BLVD,,"ADDITION, COMMERCIAL GENERAL", 3500061.28,LIVING ARTS AND SCIENCE,BURCHFIELD & THOMAS INC,362 N MARTIN LUTHER KING BLVD,Block Level,N MARTIN LUTHER KING BLVD,,-84.489201231521761,38.049218337693624
 183790,2014/06/30 00:00:00.000,1691 WHARTON WAY,,TOWNHOUSE, 50000.0,RML CONSTRUCTION,R M L CONSTRUCTION LLC,1691 WHARTON WAY,Block Level,WHARTON WAY,,-84.393520791839308,38.018838991563541
 174948,2013/03/18 00:00:00.000,2398 WOODHILL DR,,ZONING COMPLIANCE PERMIT (N/C), 0.0,CELLNET,CELLNET,2398 WOODHILL DR,Block Level,WOODHILL DR,,-84.454961627060953,38.017413537561104
 181609,2014/05/01 00:00:00.000,543 S LIMESTONE,,"MECHANICAL COMM. $10,001-$25,000", 15000.0,NPC INTERNATIONAL,"OSAGE CONTRACTORS, LLC",543 S LIMESTONE,Block Level,S LIMESTONE,,-84.507205781831686,38.038053068898343
 169684,2012/06/25 00:00:00.000,301 W THIRD ST,,REMOD. GEN. BUSINESS OFFICE/BLDG., 415000.0,TRANSYLVANIA UNIVERSITY,JARBOE CONSTRUCTION INC,301 W THIRD ST,Block Level,W THIRD ST,,-84.49471901711803,38.051479237799114
 172549,2012/10/18 00:00:00.000,1225 S BROADWAY,,REMODELING COMMERCIAL, 2285408.0,LEXINGTON CLINIC,ERDMAN HEALTHCARE FACILITIES COMPANY ,1225 S BROADWAY,Block Level,S BROADWAY,,-84.520568400633849,38.035553407619304
 170053,2012/06/14 00:00:00.000,451 HAYS BLVD,,"MECHANICAL, SINGLE FAMILY", 0.0,BALL HOMES INC,STIVERS HVAC INC,451 HAYS BLVD,Block Level,HAYS BLVD,,-84.410456219814321,37.984304653752694
 185164,2014/09/15 00:00:00.000,4371 OLD HARRODSBURG RD,STE 150,SIGNS , 1850.0,SHELTER INSURANCE,POPEYE SIGN COMPANY INC,4371 OLD HARRODSBURG RD,Block Level,OLD HARRODSBURG RD,,-84.584326813387079,37.996307978717638
 187537,2015/02/20 00:00:00.000,3090 TODDS RD,,SIGNS , 3965.0,COCKTAILS BAR & GRILL,ROYER SIGN SHOPS INC,3090 TODDS RD,Block Level,OLD TODDS RD,,-84.425072961188064,38.009384079374236
 175635,2013/04/25 00:00:00.000,787 LIBERTY RIDGE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,LIBERTY RIDGE SENIOR LIVING,CLIMATE CONTROL CORPORATION,787 LIBERTY RIDGE LN,Block Level,LIBERTY RIDGE LN,,-84.437331604752089,38.017998966092335
 162831,2011/04/01 00:00:00.000,135 CHERRYBARK DR,,"MECHANICAL COMM. $2,001-$10,000", 0.0,HUNTER DAVIS,AIR TECH INC,135 CHERRYBARK DR,Block Level,CHERRYBARK DR,,-84.525237873036389,38.018989860590906
 179402,2013/10/30 00:00:00.000,128 E NEW CIRCLE RD,,"MECHANICAL COMM. $10,001-$25,000", 0.0,ROSENSTEIN DEVELOPMENT,SERVICE EXPRESS CO,128 E NEW CIRCLE RD,Block Level,E NEW CIRCLE RD,,-84.468684046041105,38.063796155867315
 173259,2012/11/30 00:00:00.000,4324 EVANGELINE LN,,TOWNHOUSE, 50000.0,R M L CONSTRUCTION LLC,R M L CONSTRUCTION LLC,4324 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.41055837582573,37.98726129733366
 166936,2011/12/27 00:00:00.000,4001 NICHOLASVILLE RD,,SIGNS , 4000.0,PIER 1 IMPORTS,FASTSIGNS,4001 NICHOLASVILLE RD,Block Level,NICHOLASVILLE RD,,-84.527742805906414,37.982266448580283
 183169,2014/06/03 00:00:00.000,197 OLD WOOLEN MILL LN,,"FENCE, RESIDENTIAL", 700.0,ANDERSON HOMES FOR RENT LLC,RIO GRANDE FENCE CO INC,197 OLD WOOLEN MILL LN,Block Level,OLD WOOLEN MILL LN,,-84.556134014724094,38.084155547627752
 187165,2015/01/20 00:00:00.000,306 N ASHLAND AVE,,ZONING COMPLIANCE PERMIT (N/C), 0.0,BREAKOUT GAMES,BREAKOUT GAMES,306 N ASHLAND AVE,Block Level,N ASHLAND AVE,,-84.478523549384747,38.039253968870923
 185433,2014/09/26 00:00:00.000,3273 ALCOTT PL,,TOWNHOUSE, 50000.0,R M L CONSTRUCTION,R M L CONSTRUCTION LLC,3273 ALCOTT PL,Block Level,ALCOTT PL,,-84.393522489673572,38.017625560947529
 165078,2011/08/16 00:00:00.000,980 NANDINO BLVD,,"MECHANICAL COMM. $2,001-$10,000", 0.0,WEBB COMPANY,MULLIS INC,980 NANDINO BLVD,Block Level,NANDINO BLVD,,-84.501037856999957,38.077882387617763
 173946,2013/01/22 00:00:00.000,1565 ALEXANDRIA DR,,ZONING COMPLIANCE HOME OFFICE (N/C), 0.0,The Candy Jar Buffet Co,The Candy Jar Buffet Co,1565 ALEXANDRIA DR,Block Level,ALEXANDRIA DR,,-84.551907932569549,38.045381498809874
 173969,2013/01/22 00:00:00.000,1248 VERSAILLES RD,,ZONING COMPLIANCE PERMIT (N/C), 0.0,SKATERS PARADISE,SKATERS PARADISE,1248 VERSAILLES RD,Block Level,VERSAILLES RD,,-84.520622773721314,38.050001897383702
 168264,2012/03/28 00:00:00.000,1850 MERCER RD,,"MECHANICAL COMM. $1,100,001-$1,200,000", 0.0,AMAZON.COM,GREEN MECHANICAL CONSTRUCTION INC,1850 MERCER RD,Block Level,MERCER RD,,-84.528193031660535,38.076669291152157
 165917,2011/10/06 00:00:00.000,2200 LIBERTY RD,,"MECHANICAL, GOV BLDG LOCAL", 0.0,FAYETTE BOE,THERMAL EQUIPMENT SERVICE CO INC,2200 LIBERTY RD,Block Level,LIBERTY RD,,-84.446164527700432,38.027787544158727
 170743,2012/07/20 00:00:00.000,2433 NICHOLASVILLE RD,,SIGNS , 5000.0,CFT DEVELOPMENT,ANCHOR SIGN INC,2433 NICHOLASVILLE RD,Block Level,NICHOLASVILLE RD,,-84.519881564274499,38.002332035735087
 171181,2012/08/08 00:00:00.000,1021 INDUSTRY RD,,"MECHANICAL COMM. $2,001-$10,000", 0.0,STEVEN WATHEN,AIR CONTROL HEATING & COOLING OF LEX,1021 INDUSTRY RD,Block Level,INDUSTRY RD,,-84.460377309574866,38.043678503829803
 182436,2014/04/30 00:00:00.000,1318 STANLEY AVE,,"MECHANICAL, SINGLE FAMILY", 5260.0,HARMONY HOMES ,ADVANTAGE AIR,1318 STANLEY AVE,Block Level,STANLEY AVE,,-84.515918041482124,38.03107282299176
 177713,2013/11/25 00:00:00.000,2255 BUENA VISTA RD,,"HOTEL, MOTEL, LODGING HOUSE LODGE", 3000000.0,"NILAKANTHA, LLC",ROBERTS ENTERPRISES INC,2255 BUENA VISTA RD,Block Level,BUENA VISTA RD,,-84.427127990504957,38.042649622753878
 185084,2014/09/05 00:00:00.000,1314 NANCY HANKS RD,#1,"MECHANICAL, MULTI-FAMILY", 1500.0,BALL HOMES ,STIVERS HVAC INC,1314 NANCY HANKS RD,Block Level,NANCY HANKS RD,,-84.522798534984531,38.047210880952171
 178861,2013/09/26 00:00:00.000,708 LIBERTY RIDGE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,LIBERTY RIDGE SR LIVING ,CLIMATE CONTROL CORPORATION,708 LIBERTY RIDGE LN,Block Level,LIBERTY RIDGE LN,,-84.436203598747113,38.018651651483303
 180166,2013/12/10 00:00:00.000,835 GLASFORD SQ,UNIT 103,TOWNHOUSE, 50000.0,RML CONSTRUCTION,R M L CONSTRUCTION LLC,835 GLASFORD SQ,Block Level,GLASFORD SQ,,-84.51641434667539,37.971508367488383
 187368,2015/02/02 00:00:00.000,875 GLASFORD SQ,#101,"MECHANICAL, SINGLE FAMILY", 4153.12,RML CONSTRUCTION LLP,STIVERS HVAC INC,875 GLASFORD SQ,Block Level,GLASFORD SQ,,-84.51641434667539,37.971508367488383
 173929,2013/01/18 00:00:00.000,4391 EVANGELINE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,"BALL HOMES, INC",STIVERS HVAC INC,4391 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.410279006989725,37.986496123856547
 178752,2013/09/20 00:00:00.000,3490 RICHMOND RD,,SIGNS , 25500.0,ADVANCE AUTO PARTS,U S A SIGNS LLC,3490 RICHMOND RD,Block Level,RICHMOND RD,,-84.441114621122082,37.996752285052096
 168390,2012/03/30 00:00:00.000,905 S LIMESTONE,,ZONING COMPLIANCE PERMIT, 0.0,LOGO XPRESS,LOGO XPRESS,905 S LIMESTONE,Block Level,S LIMESTONE,,-84.509340574930278,38.031957115421662
 173302,2012/12/03 00:00:00.000,4372 EVANGELINE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,BALL HOMES INC,STIVERS HVAC INC,4372 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.410279006989725,37.986496123856547
